 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
256,0.077,1.261,0.428,47,1147,171.870,0.302
257,0.053,1.029,0.472,223,1157,39.806,0.181
258,0.099,1.228,0.462,26,1161,58.392,0.333
259,0.101,1.510,0.522,182,1161,10.008,0.392
260,0.147,1.792,0.638,465,1171,31.430,0.369
261,0.109,1.357,0.571,400,1171,32.005,0.311
262,0.039,0.773,0.327,345,1167,33.690,0.189
263,0.055,0.894,0.385,202,1182,45.000,0.230
264,0.042,0.841,0.379,127,1181,28.610,0.181
265,0.048,0.926,0.394,351,1183,32.471,0.213
266,0.153,1.596,0.609,30,1190,26.565,0.390
267,0.036,0.755,0.338,333,1187,26.565,0.175
268,0.081,1.115,0.393,225,1186,157.380,0.347
269,0.165,1.863,0.669,79,1188,161.565,0.439
270,0.064,0.944,0.374,394,1196,14.036,0.242
271,0.049,0.841,0.338,207,1193,169.695,0.212
272,0.123,1.870,0.705,337,1209,30.964,0.376
273,0.192,2.240,0.736,163,1201,170.538,0.495
274,0.244,2.200,0.788,107,1198,147.529,0.577
275,0.108,1.268,0.450,421,1210,70.346,0.363
276,0.381,3.519,1.032,300,1214,174.958,0.714
277,0.295,2.849,1.034,6,1220,37.875,0.593
278,0.067,0.979,0.387,271,1210,51.340,0.277
279,0.206,1.991,0.721,208,1223,33.024,0.488
280,0.050,0.858,0.369,354,1213,34.992,0.210
281,0.112,1.410,0.558,78,1226,77.471,0.272
282,0.045,0.798,0.316,35,1213,16.699,0.210
283,0.320,3.811,1.313,163,1231,28.926,0.556
284,0.048,1.115,0.393,137,1218,22.620,0.212
285,0.035,0.762,0.327,267,1223,33.690,0.171
286,0.034,0.670,0.285,339,1221,32.005,0.181
287,0.054,0.883,0.345,38,1226,37.875,0.257
288,0.080,1.090,0.446,371,1233,28.301,0.284
289,0.048,0.883,0.379,137,1232,28.610,0.216
290,0.043,0.841,0.353,246,1233,30.964,0.184
291,0.076,1.211,0.503,182,1242,32.735,0.261
292,0.269,2.814,1.039,266,1236,171.634,0.443
293,0.098,1.364,0.545,352,1248,33.690,0.297
294,0.035,0.755,0.327,340,1248,33.690,0.162
295,0.069,1.029,0.420,158,1256,59.744,0.257
296,0.450,3.640,1.325,220,1276,27.150,0.619
297,0.031,0.755,0.345,323,1261,37.875,0.159
298,0.133,1.898,0.636,167,1269,25.346,0.385
299,0.103,1.236,0.472,338,1271,50.194,0.310
300,0.052,0.987,0.446,300,1270,28.301,0.205
301,0.258,2.315,0.814,39,1290,74.932,0.514
302,0.036,0.816,0.354,16,1270,19.983,0.181
303,0.040,0.798,0.327,93,1273,33.690,0.203
304,0.032,0.670,0.285,79,1273,32.005,0.181
305,0.080,1.286,0.529,112,1290,59.036,0.277
306,0.050,1.090,0.458,400,1280,7.595,0.181
307,0.088,1.286,0.430,186,1290,39.289,0.338
308,0.174,2.023,0.721,334,1303,56.976,0.392
309,0.038,0.737,0.298,126,1289,23.962,0.193
310,0.411,3.558,1.109,158,1319,25.866,0.715
311,0.057,0.944,0.382,129,1300,18.435,0.230
312,0.141,2.041,0.841,144,1317,52.306,0.315
313,0.339,3.796,1.209,248,1327,36.870,0.507
314,0.030,0.677,0.279,93,1317,40.601,0.171
315,0.137,1.503,0.623,365,1324,22.834,0.354
316,0.060,0.961,0.393,213,1330,67.380,0.242
317,0.046,0.773,0.321,320,1333,41.186,0.214
318,0.122,1.374,0.507,8,1329,162.646,0.363
319,0.043,0.987,0.406,267,1334,26.565,0.203
320,0.049,0.891,0.379,194,1340,28.610,0.192
321,0.037,0.866,0.385,156,1347,45.000,0.171
322,0.108,1.314,0.545,131,1356,56.310,0.321
323,0.040,0.798,0.345,115,1351,37.875,0.176
324,0.449,4.327,1.318,85,1354,143.393,0.795
325,0.030,0.737,0.326,137,1357,21.801,0.162
326,0.050,0.848,0.338,229,1362,26.565,0.224
327,0.053,0.933,0.394,44,1364,32.471,0.213
328,0.044,0.858,0.354,1,1362,19.983,0.212
329,0.038,0.755,0.311,285,1370,29.055,0.184
330,0.053,0.894,0.365,147,1377,65.556,0.212
331,0.037,0.755,0.321,215,1378,41.186,0.192
332,0.042,0.773,0.287,32,1376,161.565,0.212
333,0.036,0.841,0.387,197,1386,38.660,0.159
334,0.057,0.919,0.394,259,1387,32.471,0.216
335,0.123,1.902,0.841,130,1404,37.694,0.245
336,0.085,1.228,0.503,283,1401,32.735,0.268
337,0.033,0.737,0.298,20,1401,23.962,0.176
338,0.110,1.329,0.517,192,1406,20.556,0.299
339,0.043,0.833,0.369,164,1407,34.992,0.181
340,0.276,3.398,1.231,134,1439,65.323,0.491
341,0.123,1.364,0.545,62,1419,19.440,0.347
342,0.061,1.054,0.436,157,1423,56.310,0.239
343,0.066,0.979,0.382,244,1419,18.435,0.242
344,0.053,0.961,0.411,270,1428,17.103,0.195
345,0.119,1.435,0.488,24,1433,7.125,0.363
346,0.038,0.755,0.311,288,1432,29.055,0.192
347,0.039,0.755,0.321,0,1441,41.186,0.210
348,0.493,4.209,1.478,88,1469,30.763,0.722
349,0.170,2.553,1.124,211,1451,23.806,0.284
350,0.031,0.702,0.298,316,1442,23.962,0.171
351,0.055,0.919,0.394,175,1448,32.471,0.227
352,0.041,0.798,0.327,154,1454,33.690,0.210
353,0.599,4.744,1.555,182,1481,26.565,0.876
354,1.008,5.890,1.597,154,1512,71.222,0.963
355,0.043,0.823,0.369,35,1480,34.992,0.171
356,0.051,0.994,0.430,45,1484,39.289,0.192
357,0.042,0.901,0.345,62,1486,15.255,0.181
358,0.089,1.354,0.587,192,1502,55.491,0.235
359,0.040,0.780,0.311,163,1500,29.055,0.201
360,0.037,0.848,0.364,60,1506,41.634,0.150
