 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
571,1.275,5.072,1.732,1754,1180,168.408,1.111
572,0.096,1.162,0.486,246,1176,26.565,0.261
573,0.868,3.837,1.417,175,1197,17.879,0.989
574,2.293,9.291,3.004,512,1179,112.109,1.434
575,3.745,13.569,3.935,998,1280,69.963,1.761
576,0.057,0.876,0.351,691,1204,60.255,0.261
577,1.534,5.496,1.793,52,1237,67.166,1.305
578,0.556,2.817,1.034,432,1229,67.751,0.783
579,1.538,6.050,2.052,1091,1208,94.865,1.245
580,0.042,0.938,0.413,1064,1215,161.565,0.188
581,0.112,1.470,0.580,1599,1223,102.995,0.348
582,0.013,0.369,0.185,1394,1236,45.000,0.123
583,1.300,4.641,1.614,177,1249,14.036,1.248
584,0.042,0.753,0.314,107,1240,33.690,0.217
585,0.074,1.445,0.567,2291,1250,57.529,0.277
586,1.589,6.162,1.918,1517,1244,147.031,1.432
587,0.098,1.137,0.428,929,1245,156.038,0.304
588,0.880,5.210,1.833,1029,1282,67.694,0.989
589,0.271,1.998,0.739,715,1256,28.072,0.507
590,0.040,0.779,0.340,2300,1251,50.194,0.214
591,0.034,0.851,0.292,1057,1249,116.565,0.217
592,0.227,2.694,1.066,2291,1276,78.232,0.391
593,4.086,8.693,2.963,190,1278,3.366,1.986
594,0.026,0.630,0.265,885,1258,99.462,0.130
595,0.038,0.728,0.292,1325,1261,116.565,0.200
596,5.043,14.127,4.427,1843,1265,123.378,2.163
597,0.015,0.395,0.185,633,1268,45.000,0.130
598,0.613,4.559,1.615,961,1298,62.745,0.769
599,0.040,0.677,0.292,2309,1266,153.435,0.214
600,5.985,21.244,5.299,821,1327,20.666,2.521
601,0.057,1.097,0.454,602,1271,16.699,0.217
602,0.044,0.753,0.314,1019,1276,56.310,0.217
603,0.036,0.702,0.275,1040,1277,71.565,0.214
604,1.037,4.892,1.559,1713,1273,120.141,1.214
605,0.023,0.554,0.222,2311,1277,168.690,0.174
606,0.013,0.369,0.185,2292,1277,135.000,0.123
607,0.032,0.779,0.331,774,1284,23.199,0.174
608,1.044,5.871,1.833,2304,1281,112.306,1.141
609,0.036,0.666,0.278,995,1288,38.660,0.214
610,0.015,0.456,0.195,819,1288,26.565,0.130
611,0.059,0.912,0.374,1541,1293,54.462,0.246
612,0.072,0.963,0.389,555,1296,26.565,0.261
613,0.015,0.456,0.217,661,1295,36.870,0.130
614,0.023,0.518,0.246,652,1297,45.000,0.154
615,0.161,1.742,0.592,666,1308,17.103,0.500
616,0.030,0.605,0.254,695,1305,59.036,0.174
617,0.151,1.419,0.496,933,1311,37.875,0.435
618,0.509,3.125,1.284,1582,1305,151.699,0.627
619,0.113,1.260,0.435,964,1314,126.870,0.391
620,0.549,2.936,1.171,1968,1334,31.329,0.636
621,0.267,2.274,0.739,1566,1346,61.928,0.652
622,0.045,0.789,0.331,1469,1332,113.199,0.217
623,0.634,3.806,1.462,663,1365,67.249,0.606
624,0.019,0.482,0.195,2327,1335,116.565,0.130
625,0.509,4.134,1.316,353,1371,82.405,0.648
626,0.047,0.789,0.331,951,1348,66.801,0.217
627,0.603,3.693,1.226,1445,1369,27.474,0.840
628,0.401,2.546,1.031,1995,1356,152.354,0.584
629,6.553,28.219,5.998,1527,1361,129.114,3.204
630,2.047,9.412,2.449,2321,1358,109.722,1.435
631,0.946,4.892,1.519,1653,1368,156.371,1.024
632,0.032,0.641,0.275,2302,1369,18.435,0.174
633,3.150,11.440,2.741,1615,1373,131.785,2.236
634,0.017,0.456,0.217,1429,1377,53.130,0.130
635,0.030,0.605,0.278,2279,1384,51.340,0.174
636,0.526,3.432,1.208,370,1413,59.744,0.681
637,1.109,4.368,1.510,1335,1392,138.504,1.082
638,0.242,1.977,0.760,442,1393,156.371,0.478
639,0.095,1.148,0.448,653,1401,60.945,0.338
640,0.036,0.666,0.254,1817,1392,120.964,0.217
641,0.201,1.706,0.664,504,1413,31.608,0.435
642,0.030,0.579,0.234,555,1404,158.199,0.174
643,0.762,4.030,1.435,767,1410,104.036,0.861
644,0.015,0.431,0.195,783,1413,26.565,0.130
645,0.057,1.050,0.454,1595,1416,16.699,0.217
646,0.028,0.579,0.234,630,1417,21.801,0.174
647,1.875,7.231,2.423,1236,1430,158.962,1.506
648,0.055,0.840,0.340,1181,1424,39.806,0.253
649,0.108,1.199,0.448,854,1430,29.055,0.348
650,0.034,0.692,0.292,605,1428,26.565,0.174
651,0.028,0.569,0.246,555,1431,45.000,0.174
652,0.045,0.753,0.314,1380,1428,123.690,0.217
653,0.155,1.517,0.604,2184,1440,59.744,0.369
654,0.021,0.605,0.278,422,1434,141.340,0.145
655,0.339,2.690,0.844,366,1440,168.111,0.660
