 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
324,0.189,3.618,0.920,996,2336,14.621,0.503
325,0.358,3.108,0.937,1021,2330,141.710,0.728
326,0.061,1.162,0.441,1051,2330,15.255,0.271
327,0.144,2.074,0.706,919,2331,170.538,0.355
328,0.061,1.176,0.503,1085,2337,22.620,0.208
329,0.129,2.000,0.760,664,2352,75.256,0.352
330,0.069,1.549,0.591,905,2336,148.392,0.311
331,0.546,3.344,1.273,829,2369,70.463,0.648
332,0.106,1.978,0.797,1015,2339,150.945,0.294
333,0.087,1.463,0.592,0,2339,101.310,0.232
334,0.109,1.385,0.496,1175,2350,51.340,0.355
335,0.066,1.176,0.383,641,2350,45.000,0.271
336,0.332,4.052,1.005,554,2354,164.358,0.691
337,0.061,1.021,0.381,1055,2346,156.038,0.306
338,0.076,1.066,0.441,844,2349,142.125,0.277
339,0.132,1.923,0.558,971,2360,56.310,0.461
340,0.085,1.513,0.472,898,2372,55.008,0.329
341,0.064,0.966,0.404,486,2367,163.301,0.232
342,0.232,2.867,0.783,980,2382,57.095,0.647
343,0.103,1.536,0.649,1043,2368,162.646,0.287
344,0.127,1.800,0.743,343,2381,38.660,0.322
345,0.132,3.167,1.128,311,2372,174.094,0.427
346,0.132,1.997,0.592,1108,2377,11.310,0.438
347,0.708,5.724,1.560,348,2409,66.615,0.958
348,0.123,2.097,0.630,424,2374,137.490,0.460
349,0.180,2.206,0.692,249,2375,116.565,0.568
350,0.091,1.736,0.727,659,2376,154.799,0.239
351,0.067,1.440,0.505,211,2386,32.471,0.348
352,0.070,0.957,0.387,1104,2380,126.870,0.271
353,0.078,1.208,0.466,992,2396,48.366,0.265
354,0.184,2.770,1.079,1078,2398,14.534,0.370
355,0.069,1.130,0.441,1013,2395,142.125,0.301
356,0.078,1.121,0.433,466,2400,100.305,0.271
357,0.696,4.082,1.412,1104,2409,9.462,0.693
358,0.075,1.317,0.453,1036,2404,109.983,0.310
359,0.064,1.404,0.554,1048,2411,12.095,0.232
360,0.204,2.019,0.640,470,2420,25.017,0.536
361,0.175,2.712,0.734,776,2431,71.565,0.468
362,0.072,1.172,0.451,1086,2416,149.036,0.258
363,0.419,3.699,1.505,863,2448,17.969,0.503
364,0.075,2.019,0.710,320,2436,150.642,0.288
365,0.147,1.691,0.658,836,2446,28.072,0.357
366,0.066,0.966,0.381,1080,2443,156.038,0.271
367,0.099,1.572,0.592,1102,2445,168.690,0.271
